pt,no_reactions
Complications of transplanted heart,2
Computerised tomogram head abnormal,3
Confusion postoperative,6
Congenital aortic valve stenosis,15
Congenital choroid plexus cyst,24
Congenital cystic lung,23
Congenital megacolon,15
Congenital neurological disorder,1
Congenital pulmonary airway malformation,2
Congenital pulmonary valve disorder,7
Congenital syphilitic osteochondritis,1
Conjunctivitis viral,4
Contrast encephalopathy,1
Contrast media reaction,15
Cor pulmonale acute,20
Corectopia,2
Corneal dystrophy,17
Corneal implant,3
Corneal lesion,1
Coronary angioplasty,4
Coronary artery insufficiency,8
Coronary revascularisation,2
Coronary vein stenosis,2
Coronavirus pneumonia,5
Corpora cavernosa surgery,3
Corrective lens user,13
Cortical dysplasia,1
Cortisol abnormal,3
Cow's milk intolerance,2
Cranioplasty,2
Creatinine urine decreased,3
Croup infectious,7
Crush injury,2
Crush syndrome,4
Cutaneous lymphoma,18
Cutaneous symptom,4
Cyanosis central,4
Cycloplegia,11
Cystic lung disease,4
Cystitis escherichia,5
Cystitis haemorrhagic,43
Cystitis radiation,3
Cystitis ulcerative,1
Cystocele,10
Cystocele repair,1
Cystoid macular oedema,18
Cytogenetic abnormality,16
Cytogenetic analysis abnormal,5
Cytomegalovirus colitis,6
Debridement,6
Decerebration,7
Decompression sickness,1
Decreased eye contact,11
Defaecation disorder,25
Dehydroepiandrosterone increased,1
Delayed delivery,3
Delirium febrile,4
Demyelinating polyneuropathy,12
Dental alveolar anomaly,3
Dental cyst,2
Dental prosthesis user,7
Dependence on oxygen therapy,3
Dermatitis herpetiformis,4
Detachment of retinal pigment epithelium,2
Developmental hip dysplasia,35
Device colour issue,8
Device computer issue,6
Device loosening,6
Diabetic retinal oedema,1
Diffuse large B-cell lymphoma recurrent,13
Diffuse large B-cell lymphoma stage IV,11
Disability assessment scale score increased,3
Disease susceptibility,1
Disorder of orbit,2
Dissociative fugue,1
Documented hypersensitivity to administered drug,18
Dopamine transporter scintigraphy abnormal,18
Drug screen,6
Drug withdrawal headache,26
Dry gangrene,10
Dyslalia,12
Dysplasia,10
Dysthymic disorder,5
Ear neoplasm,6
Ear operation,6
"Ear, nose and throat infection",3
Early satiety,4
Electrocardiogram QT interval abnormal,28
Electrocardiogram QT shortened,12
Electrocardiogram change,8
Electrocardiogram repolarisation abnormality,17
Encephalomyelitis,6
Endocarditis enterococcal,2
Endocarditis noninfective,1
Endometrial disorder,3
Endotracheal intubation complication,3
Enteral feeding intolerance,1
Enteral nutrition,4
Enterococcal sepsis,8
Enterocolitis viral,2
Eosinophil percentage increased,4
Eosinophilic myocarditis,31
Eosinophilic pneumonia chronic,17
Epinephrine increased,2
Epiploic appendagitis,1
Epstein-Barr virus associated lymphoma,4
Erosive duodenitis,5
Erosive oesophagitis,11
Erythropenia,6
Escherichia pyelonephritis,8
Eustachian tube disorder,2
Eustachian tube obstruction,2
Euthyroid sick syndrome,2
Ewing's sarcoma,1
Exaggerated startle response,3
Excessive exercise,3
Excessive eye blinking,21
Excessive ocular convergence,1
Exfoliation glaucoma,1
Exposure to communicable disease,9
Exposure to extreme temperature,1
Exposure to unspecified agent,3
External ear inflammation,1
External fixation of fracture,1
Extraocular muscle paresis,5
Extremity contracture,8
Exudative retinopathy,3
Eye burns,3
Eye haematoma,17
Eye paraesthesia,4
Eye symptom,2
Eye ulcer,9
Eyeball avulsion,2
Eyelash discolouration,2
Eyelid exfoliation,2
Eyelid rash,14
Facial nerve disorder,12
Facial neuralgia,2
Failed back surgery syndrome,1
Failure of child resistant mechanism for pharmaceutical product,1
Fallopian tube operation,2
False negative investigation result,10
False negative pregnancy test,1
Familial mediterranean fever,2
Family stress,7
Fat embolism,2
Fat redistribution,1
Febrile infection,10
Feeding disorder of infancy or early childhood,4
Feeding tube complication,4
Felty's syndrome,2
Female sex hormone level abnormal,1
Feminisation acquired,1
Femur-fibula-ulna complex,8
Fibroadenoma of breast,4
Fine motor delay,1
Fingerprint loss,2
Fistula discharge,9
Fistula of small intestine,4
Fistula repair,1
Flashback,7
Flight of ideas,12
Focal nodular hyperplasia,3
Foetal distress syndrome,36
Foreign body in eye,7
Fracture delayed union,3
Fracture displacement,4
Fractured ischium,1
Free prostate-specific antigen decreased,1
Fuchs' syndrome,2
Fungal foot infection,2
Gallbladder hypofunction,9
Gallbladder necrosis,4
Gallbladder pain,3
Gastric aspiration procedure,2
Gastric cancer stage III,7
Gastric hypermotility,1
Gastroduodenal haemorrhage,9
Gastroenteritis adenovirus,4
Gastrointestinal angiectasia,1
Gastrointestinal erosion,4
Gastrointestinal fungal infection,3
Gastrointestinal hypermotility,8
Gastrointestinal mucosal disorder,5
Gastrointestinal scarring,8
Gastrointestinal stenosis,1
Gastrointestinal tube insertion,23
Gene mutation,7
Genital disorder,4
Genital herpes simplex,2
Genital infection viral,1
Genital tract inflammation,4
Genitourinary tract infection,6
Genotype drug resistance test positive,18
Giant cell arteritis,10
Giant papillary conjunctivitis,1
Gingival cyst,4
Gingival erosion,3
Gingival hyperplasia,2
Gingival oedema,3
Gingival polyp,2
Gingival pruritus,1
Glaucomatous optic disc atrophy,3
Glomerulonephritis membranous,8
Glomus jugulare tumour,2
Glomus tumour,1
Glucose tolerance increased,1
Glycosylated haemoglobin abnormal,5
Grandiosity,6
Groin infection,4
Growth hormone deficiency,92
Growth retardation,36
HLA-B*27 positive,2
Haemangioma of bone,3
Haemangioma removal,1
Haematotoxicity,13
Haemodialysis,8
Haemoglobinopathy,2
Haemophilia,2
Haemophilus bacteraemia,2
Haemophilus infection,8
Haemorrhagic ascites,1
Haemorrhagic transformation stroke,22
Hairy cell leukaemia,3
Hanging,10
Heart valve operation,6
Heat illness,9
Helplessness,2
Hemianopia,30
Hemihypoaesthesia,3
Hemivertebra,7
Hepatic cancer stage III,1
Hepatitis B surface antigen negative,1
Hepatitis E antibody positive,6
Hepatitis E virus test positive,9
Hereditary disorder,2
Herpes zoster meningitis,3
High density lipoprotein abnormal,2
Histiocytic necrotising lymphadenitis,1
Histone antibody positive,2
Hoigne's syndrome,3
Homeless,1
Hormone replacement therapy,1
Human papilloma virus test positive,5
Hyperaemia,5
Hyperbaric oxygen therapy,1
Hypergammaglobulinaemia,1
Hyperinsulinaemia,5
Hyperlipasaemia,12
Hyperparathyroidism primary,3
Hyperproteinaemia,1
Hyperresponsive to stimuli,6
Hypersensitivity pneumonitis,60
Hypertelorism,1
Hypertrophy,1
Hypervitaminosis D,1
Hyphaema,8
Hypnopompic hallucination,3
Hypochloraemia,36
Hypochondriasis,1
Hypogeusia,21
Hypoglossal nerve disorder,1
Hypogonadism male,1
Hyponatraemic encephalopathy,18
Hypoparathyroidism,8
Hypoperfusion,5
Hypophosphataemic osteomalacia,2
Hypopyon,4
Hypotony of eye,1
Iliotibial band syndrome,1
Immobilisation prolonged,2
Immobilisation syndrome,2
Immune-mediated adrenal insufficiency,3
Immune-mediated dermatitis,5
Immune-mediated encephalitis,2
Immune-mediated gastritis,1
Immune-mediated hepatic disorder,2
Immune-mediated hepatitis,30
Immune-mediated lung disease,6
Immune-mediated nephritis,8
Implant site dehiscence,3
Implant site hypersensitivity,1
Inadequate diet,3
Inadequate lubrication,2
Incision site haemorrhage,12
Infantile spitting up,1
Infection parasitic,7
Infertility male,5
Inflammatory pain,6
Influenza A virus test positive,4
Infrequent bowel movements,10
Infusion,4
Infusion site discolouration,6
Infusion site phlebitis,1
Infusion site vesicles,9
Inhalation therapy,7
Injected limb mobility decreased,2
Injection site dryness,8
Injection site hypertrophy,1
Injection site macule,2
Injection site movement impairment,2
Injury corneal,2
Inspiratory capacity decreased,3
Instillation site haemorrhage,1
Instillation site pruritus,2
Insulin-like growth factor abnormal,1
Insulin-like growth factor decreased,2
Intensive care unit acquired weakness,6
Intentional medical device removal by patient,8
Intercepted medication error,9
Intercepted product administration error,8
Intervertebral disc displacement,4
Intervertebral disc space narrowing,1
Intestinal mucosal tear,3
Intra-abdominal fluid collection,5
Intra-abdominal haemorrhage,22
Intrathecal pump insertion,5
Investigation abnormal,5
Iron overload,8
Irregular breathing,3
Ischaemic enteritis,1
Ischaemic hepatitis,3
Ischaemic neuropathy,1
Itching scar,1
Jaw operation,13
Joint abscess,3
Joint ankylosis,4
Joint contracture,4
Juvenile myoclonic epilepsy,9
Keratorhexis,1
Ketonuria,15
Ketosis,10
Kidney enlargement,8
Klebsiella sepsis,8
Kleptomania,55
Kyphosis,8
Labelled drug-disease interaction medication error,10
Labelled drug-food interaction medication error,34
Lacrimal disorder,5
Lacrimal structure injury,6
Large intestine anastomosis,1
Laryngeal discomfort,2
Laryngeal injury,2
Laryngeal pain,2
Learning disorder,11
Left atrial appendage closure implant,1
Left ventricle outflow tract obstruction,2
Leukocyturia,4
Limb amputation,2
Lip erosion,3
Lip haemorrhage,4
Lip neoplasm benign,2
Lipogranuloma,1
Lipoma excision,1
Lipoprotein (a) increased,2
Liposarcoma,4
Listeria encephalitis,1
Listeria sepsis,1
Listeriosis,6
Liver function test decreased,8
Liver sarcoidosis,2
Local anaesthetic systemic toxicity,3
Locked-in syndrome,8
Lung carcinoma cell type unspecified recurrent,6
Lung carcinoma cell type unspecified stage I,3
Lung infiltration malignant,1
Lupus encephalitis,2
Lupus nephritis,19
Lymph node calcification,4
Lymph node tuberculosis,4
Lymphangiosis carcinomatosa,7
Lymphocyte percentage increased,1
Lymphocytic lymphoma,4
Lymphocytic oesophagitis,6
Macroglossia,17
Macrophages increased,1
Macular detachment,2
Magnetic resonance imaging,1
Magnetic resonance imaging spinal abnormal,1
Malignant anorectal neoplasm,1
Malignant ascites,5
Malignant catatonia,28
Malignant mediastinal neoplasm,11
Malignant melanoma stage II,2
Malignant neoplasm of spinal cord,4
Malignant peritoneal neoplasm,3
Malignant pleural effusion,13
Malpositioned teeth,5
Mammary duct ectasia,1
Manufacturing materials issue,4
Marasmus,7
Mastocytosis,3
May-Thurner syndrome,9
Mean cell haemoglobin concentration decreased,11
Mean cell haemoglobin increased,7
Mean platelet volume decreased,1
Mechanical ileus,2
Mediastinitis,4
Medical device change,14
Medical device complication,8
Medical device implantation,12
Medical device site joint infection,1
Medical device site pain,8
Medical induction of coma,2
Meibomianitis,1
Meningitis enteroviral,4
Meningitis listeria,10
Meralgia paraesthetica,2
Mesenteric haemorrhage,6
Mesenteric vein thrombosis,8
Mesothelioma,5
Metabolic syndrome,59
Metamorphopsia,14
Metapneumovirus pneumonia,7
Metastases to abdominal cavity,2
Metastases to bladder,4
Metastases to kidney,1
Metastases to spine,13
Metastases to the mediastinum,2
Microalbuminuria,4
Microvascular coronary artery disease,1
Micturition frequency decreased,7
Milk-alkali syndrome,2
Misophonia,1
Mitral valve stenosis,5
Mitral valve thickening,1
Monoclonal immunoglobulin increased,5
Monoclonal immunoglobulin present,10
Monocyte count increased,7
Mononeuritis,1
Mononeuropathy,3
Morphoea,1
Mucosal ulceration,1
Multi-vitamin deficiency,2
Multisystem inflammatory syndrome,3
Muscle neoplasm,2
Musculoskeletal procedural complication,1
Myasthenic syndrome,22
Myelocyte count increased,1
Myocardial depression,3
Myocardial injury,4
Myofascial spasm,1
Myokymia,3
Myotonia,1
Nasal cavity cancer,4
Nasal injury,6
Nasal mucosal blistering,3
Nasal mucosal disorder,10
Natural killer cell count decreased,1
Neglect of personal appearance,12
Neonatal tachypnoea,6
Neoplasm of orbit,5
Neoplasm prostate,4
Nephritic syndrome,6
Nerve root compression,8
Neuroborreliosis,3
Neuroendocrine carcinoma,3
Neurologic somatic symptom disorder,2
Neuromyelitis optica spectrum disorder,17
Neuropathic arthropathy,8
Neurostimulator implantation,5
Neurotransmitter level altered,7
Neutrophil count abnormal,16
Neutrophilic dermatosis,7
Nipple inflammation,1
No reaction on previous exposure to drug,4
Nodular vasculitis,4
Non-Hodgkin's lymphoma recurrent,1
Non-consummation,2
Non-proliferative retinopathy,1
Norepinephrine increased,3
Normetanephrine urine increased,1
Normochromic anaemia,4
Normochromic normocytic anaemia,59
Nosocomial infection,4
Obsessive rumination,1
Obstruction gastric,9
Occupational problem environmental,1
Ocular myasthenia,10
Ocular toxicity,1
Oedema mouth,8
Oesophageal adenocarcinoma,2
Oesophageal haemorrhage,6
Oesophageal mass,1
Oesophageal stent insertion,1
Oesophagitis haemorrhagic,2
Oesophagobronchial fistula,1
Oliguria,29
Oophorectomy bilateral,3
Open fracture,4
Open globe injury,1
Open reduction of fracture,2
Ophthalmic herpes simplex,9
Ophthalmic vein thrombosis,26
Opsoclonus myoclonus,13
Optic atrophy,8
Oral blood blister,1
Oral discharge,1
Oral lichen planus,26
Oral mucosal exfoliation,12
Oral neoplasm,5
Oral papilloma,4
Organic brain syndrome,10
Organic erectile dysfunction,5
Oropharyngeal swelling,1
Osteitis deformans,6
Osteosclerosis,3
Otitis externa fungal,2
Otitis media chronic,2
Ovarian cancer stage I,2
Ovarian neoplasm,2
Overflow diarrhoea,3
POEMS syndrome,2
Paedophilia,14
Pain management,5
Palatal oedema,7
Pancreatic carcinoma stage III,2
Pancreatic failure,22
Pancreatic haemorrhage,1
Pancreatic insufficiency,1
Panniculitis,10
Panophthalmitis,2
Papillary renal cell carcinoma,5
Paranasal sinus haemorrhage,1
Paraneoplastic neurological syndrome,4
Parathyroid tumour,5
Parkinson's disease psychosis,7
Parotidectomy,2
Patent ductus arteriosus,17
Pelvic discomfort,3
Pelvic haematoma,4
Pelvic organ prolapse,2
Penile discharge,7
Peptic ulcer haemorrhage,5
Peptic ulcer perforation,1
Pericarditis infective,2
Periorbital abscess,1
Periorbital disorder,3
Peripheral nerve lesion,2
Peripheral nerve operation,1
Peripheral sensorimotor neuropathy,4
Perivascular dermatitis,3
Personality change due to a general medical condition,2
Phagophobia,22
Phantom limb syndrome,4
Pharyngeal fistula,1
Pharyngeal haemorrhage,12
Pharyngeal mass,6
Pharyngeal ulceration,3
Physical deconditioning,28
Physical disability,38
Physical product label issue,4
Picornavirus infection,1
Pilonidal disease,1
Plague,3
Plasma cells decreased,2
Platelet disorder,16
Platelet morphology abnormal,1
Platelet transfusion,7
Pleural mesothelioma malignant,2
Pleural thickening,1
Pneumococcal infection,4
Pneumonia parainfluenzae viral,5
Pneumonitis aspiration,9
Polypectomy,4
Poor dental condition,6
Poriomania,2
Portal hypertension,4
Portal vein thrombosis,27
Post cholecystectomy syndrome,4
Post procedural diarrhoea,5
Post procedural fever,4
Post procedural fistula,3
Post procedural persistent drain fluid,1
Post-traumatic epilepsy,1
Postoperative abscess,5
Postoperative respiratory failure,1
Postrenal failure,4
Posture abnormal,12
Precancerous lesion excision,1
Precancerous mucosal lesion,1
Premenstrual headache,1
Prenatal screening test abnormal,3
Presbyopia,1
Primary adrenal insufficiency,12
Primary biliary cholangitis,8
Primary progressive multiple sclerosis,9
Prinzmetal angina,13
Procedural haemorrhage,15
Procedural hypotension,5
Product closure removal difficult,3
Product compounding quality issue,1
Product contamination,9
Product delivery mechanism issue,9
Product measured potency issue,3
Product packaging difficult to open,7
Product tampering,3
Prosopagnosia,5
Prostate cancer stage I,3
Prostatic atrophy,1
Prostatic haemorrhage,4
Prostatism,18
Protein induced by vitamin K absence or antagonist II increased,1
Prothrombin time prolonged,14
Protrusion tongue,2
Pruritus allergic,5
Pseudocyst,1
Pseudoporphyria,12
Psychosexual disorder,8
Pulmonary arterial pressure increased,7
Pulmonary artery thrombosis,5
Pulmonary granuloma,4
Pulmonary imaging procedure abnormal,1
Pulmonary interstitial emphysema syndrome,7
Pulmonary malformation,19
Pulmonary nocardiosis,5
Pulmonary pain,81
Pulmonary valve stenosis,6
Pupillary disorder,2
Purulence,5
Pyogenic granuloma,2
Pyometra,9
Radiation associated pain,2
Radiation pneumonitis,7
Radiculotomy,3
Radiotherapy,4
Reaction to colouring,7
Rebound nasal congestion,6
Rectal abscess,12
Rectal cancer stage I,1
Rectal cancer stage IV,3
Rectal fissure,2
Rectosigmoid cancer stage I,1
Red blood cell abnormality,3
Red blood cell count abnormal,9
Red cell distribution width increased,22
Red man syndrome,6
Reflux laryngitis,3
Refractoriness to platelet transfusion,1
Regurgitation,15
Renal adenoma,1
Renal aneurysm,3
Renal aplasia,9
Renal cancer stage IV,2
Renal cyst haemorrhage,3
Renal hamartoma,5
Renal vasculitis,1
Reproductive tract disorder,2
Respiratory tract irritation,5
Respiratory tract malformation,8
Resuscitation,3
Retinal toxicity,14
Retinal vascular disorder,2
Retinal vascular occlusion,1
Retrograde ejaculation,34
Retroperitoneal oedema,1
Reversible airways obstruction,118
Reynold's syndrome,1
Rhegmatogenous retinal detachment,7
Rib deformity,1
