pt,no_events_global
Hepatitis cholestatic,1735
Hepatitis chronic active,9
Hepatitis chronic persistent,3
Hepatitis C RNA,10
Hepatitis C RNA decreased,1
Hepatitis C RNA fluctuation,5
Hepatitis C RNA increased,93
Hepatitis C RNA positive,26
Hepatitis C test negative,1
Hepatitis C virus test,1
Hepatitis C virus test positive,237
Hepatitis D,20
Hepatitis D RNA positive,3
Hepatitis E,675
Hepatitis E antibody positive,9
Hepatitis E virus test positive,18
Hepatitis fulminant,788
Hepatitis G,8
Hepatitis infectious,5
Hepatitis infectious mononucleosis,10
Hepatitis mumps,1
Hepatitis non-A non-B,8
Hepatitis post transfusion,3
Hepatitis syphilitic,7
Hepatitis toxic,715
Hepatitis viral,100
Hepatitis viral test positive,9
Hepatitis virus-associated nephropathy,1
Hepatobiliary cancer,16
Hepatobiliary disease,198
Hepatobiliary infection,5
Hepatobiliary neoplasm,2
Hepatobiliary procedural complication,8
Hepatobiliary scan abnormal,12
Hepatoblastoma,34
Hepatoblastoma recurrent,3
Hepatocellular carcinoma,3523
Hepatocellular foamy cell syndrome,1
Hepatocellular injury,4842
Hepatojugular reflux,4
Hepato-lenticular degeneration,13
Hepatomegaly,599
Hepatopulmonary syndrome,28
Hepatorenal failure,84
Hepatorenal syndrome,211
Hepatosplenic abscess,3
Hepatosplenic candidiasis,37
Hepatosplenic T-cell lymphoma,136
Hepatosplenomegaly,108
Hepatotoxicity,6277
HER2 gene amplification,2
HER2 mutant non-small cell lung cancer,1
HER2 negative breast cancer,10
HER-2 positive breast cancer,74
HER2 positive breast cancer,84
HER2 positive endometrial cancer,2
HER-2 positive gastric cancer,2
HER2 positive gastric cancer,10
HER2 positive salivary gland cancer,3
HER-2 protein overexpression,2
Herbal interaction,71
Herbal toxicity,8
Hereditary alpha tryptasaemia,2
Hereditary angioedema,6081
Hereditary angioedema with C1 esterase inhibitor deficiency,5
Hereditary angioedema with normal C1 esterase inhibitor,6
Hereditary ataxia,6
Hereditary disorder,8
Hereditary fructose intolerance,1
Hereditary haemochromatosis,4
Hereditary haemolytic anaemia,1
Hereditary haemorrhagic telangiectasia,15
Hereditary motor and sensory neuropathy,25
Hereditary neuropathic amyloidosis,7
Hereditary non-polyposis colorectal cancer syndrome,9
Hereditary optic atrophy,19
Hereditary pancreatitis,2
Hereditary renal microhaematuria,1
Hereditary retinal dystrophy,6
Hereditary spastic paraplegia,1
Hereditary spherocytosis,5
Hermansky-Pudlak syndrome,2
Hernia,5552
Hernia diaphragmatic repair,3
Hernia gangrenous,2
Hernia hiatus repair,47
Hernial eventration,26
Hernia obstructive,17
Hernia pain,70
Hernia perforation,26
Hernia repair,709
Herpangina,20
Herpes dermatitis,38
Herpes gestationis,2
Herpes oesophagitis,51
Herpes ophthalmic,416
Herpes pharyngitis,19
Herpes sepsis,4
Herpes simplex,850
Herpes simplex cervicitis,1
Herpes simplex colitis,7
Herpes simplex encephalitis,176
Herpes simplex gastritis,1
Herpes simplex hepatitis,42
Herpes simplex meningitis,24
Herpes simplex meningoencephalitis,4
Herpes simplex meningomyelitis,6
Herpes simplex necrotising retinopathy,1
Herpes simplex oesophagitis,36
Herpes simplex otitis externa,4
Herpes simplex pharyngitis,2
Herpes simplex pneumonia,14
Herpes simplex reactivation,61
Herpes simplex sepsis,6
Herpes simplex serology positive,2
Herpes simplex test positive,48
Herpes simplex viraemia,14
Herpes virus infection,1152
Herpes virus test abnormal,1
Herpes zoster,18032
Herpes zoster cutaneous disseminated,119
Herpes zoster disseminated,244
Herpes zoster immunisation,2
Herpes zoster infection neurological,42
Herpes zoster meningitis,69
Herpes zoster meningoencephalitis,118
Herpes zoster meningomyelitis,26
Herpes zoster meningoradiculitis,6
Herpes zoster necrotising retinopathy,9
Herpes zoster oticus,150
Herpes zoster pharyngitis,1
Herpes zoster reactivation,67
Herpetic radiculopathy,4
Heterochromia iridis,14
Heteronymous diplopia,1
Heterophoria,6
Heteroplasia,14
Heterosexuality,1
Heterotaxia,13
Heterotopic pregnancy,6
Heyde's syndrome,4
Hiatus hernia,926
Hiatus hernia strangulated,2
Hiccups,1534
Hidradenitis,2610
Hidradenocarcinoma,1
High arched palate,2
High density lipoprotein,2
High density lipoprotein abnormal,18
High density lipoprotein decreased,195
High density lipoprotein increased,98
High fat diet,1
High foetal head,1
High frequency ablation,96
High-grade B-cell lymphoma,54
High grade B-cell lymphoma Burkitt-like lymphoma,3
High grade B-cell lymphoma Burkitt-like lymphoma refractory,1
High grade B-cell lymphoma Burkitt-like lymphoma stage IV,2
High intensity focused ultrasound,1
High-pitched crying,5
High risk pregnancy,73
High risk sexual behaviour,15
High turnover osteopathy,6
Hilar lymphadenopathy,48
Hip arthroplasty,3868
Hip deformity,65
Hip disarticulation,2
Hip fracture,5922
Hippocampal atrophy,2
Hippocampal sclerosis,28
Hippus,1
Hip surgery,1729
Hirsutism,163
Histamine abnormal,10
Histamine intolerance,17
Histamine level increased,18
Histiocytic necrotising lymphadenitis,49
Histiocytic sarcoma,27
Histiocytosis,30
Histiocytosis haematophagic,727
Histology abnormal,55
Histone antibody,4
Histone antibody positive,15
Histoplasmosis,440
Histoplasmosis cutaneous,9
Histoplasmosis disseminated,373
Histrionic personality disorder,9
HIV-2 infection,1
HIV antibody positive,17
HIV associated nephropathy,8
HIV-associated neurocognitive disorder,23
HIV carrier,1
HIV infection,727
HIV infection CDC category C,1
HIV infection CDC Group I,2
HIV infection CDC Group II,1
HIV infection CDC Group IV subgroup E,1
HIV infection WHO clinical stage IV,1
HIV lipodystrophy,7
HIV meningoencephalitis,1
HIV peripheral neuropathy,10
HIV test,1
HIV test false positive,9
HIV test negative,1
HIV test positive,160
HIV tropism identified,2
HIV viraemia,77
HIV wasting syndrome,4
HLA-B*27 assay,1
HLA-B*27 positive,16
HLA-B*5701 assay positive,1
HLA-B gene status assay,2
HLA marker study positive,21
Hodgkin's disease,1485
Hodgkin's disease lymphocyte depletion type stage IV,3
Hodgkin's disease lymphocyte depletion type stage unspecified,2
Hodgkin's disease lymphocyte predominance type stage IV,1
Hodgkin's disease lymphocyte predominance type stage unspecified,1
Hodgkin's disease mixed cellularity recurrent,6
Hodgkin's disease mixed cellularity refractory,1
Hodgkin's disease mixed cellularity stage III,5
Hodgkin's disease mixed cellularity stage II supradiaphragmatic,1
Hodgkin's disease mixed cellularity stage I site unspecified,1
Hodgkin's disease mixed cellularity stage unspecified,11
Hodgkin's disease nodular sclerosis,27
Hodgkin's disease nodular sclerosis recurrent,2
Hodgkin's disease nodular sclerosis stage II,8
Hodgkin's disease nodular sclerosis stage III,22
Hodgkin's disease nodular sclerosis stage IV,5
Hodgkin's disease recurrent,75
Hodgkin's disease refractory,35
Hodgkin's disease stage I,3
Hodgkin's disease stage II,16
Hodgkin's disease stage III,20
Hodgkin's disease stage IV,11
Hoffmann's sign,3
Hoigne's syndrome,28
Holmes-Adie pupil,8
Holmes tremor,2
Holoprosencephaly,6
Homans' sign,1
Homans' sign positive,2
Home care,20
Homeless,12
Homeopathy,1
Homicidal ideation,427
Homicide,185
Homocysteine urine,1
Homocystinaemia,1
Homonymous diplopia,2
Homosexuality,11
Hooded prepuce,1
Hookworm infection,3
Hordeolum,988
Hormone-dependent prostate cancer,12
Hormone level abnormal,655
Hormone receptor negative HER2 positive breast cancer,1
Hormone receptor positive breast cancer,83
Hormone receptor positive HER2 negative breast cancer,53
Hormone refractory breast cancer,8
Hormone-refractory prostate cancer,525
Hormone replacement therapy,3
Hormone-secreting ovarian tumour,3
Hormone therapy,7
Horner's syndrome,138
Hospice care,5184
Hospitalisation,78831
Hostility,120
Hot flush,13309
Housebound,49
House dust allergy,8
HRD gene mutation assay positive,1
HTLV-1 carrier,1
HTLV-1 test positive,6
HTLV-2 test positive,2
HTLV test positive,5
Huerthle cell carcinoma,20
Human anaplasmosis,18
Human antichimeric antibody positive,9
Human anti-human antibody test,1
Human anti-mouse antibody increased,1
Human anti-mouse antibody positive,3
Human bite,7
Human bocavirus infection,17
Human chorionic gonadotropin,4
Human chorionic gonadotropin abnormal,17
Human chorionic gonadotropin decreased,11
Human chorionic gonadotropin increased,931
Human chorionic gonadotropin negative,6
Human chorionic gonadotropin positive,17
Human ehrlichiosis,42
Human epidermal growth factor receptor decreased,9
Human epidermal growth factor receptor increased,3
Human epidermal growth factor receptor negative,4
Human herpesvirus 6 encephalitis,73
Human herpesvirus 6 infection,166
Human herpesvirus 6 infection reactivation,35
Human herpes virus 6 serology positive,3
Human herpesvirus 7 infection,9
Human herpesvirus 8 infection,180
Human herpes virus 8 test positive,14
Human immunodeficiency virus transmission,11
Human metapneumovirus test,3
Human metapneumovirus test positive,24
Human papilloma virus test negative,1
Human papilloma virus test positive,76
Human polyomavirus infection,144
Human rhinovirus test positive,30
Human seminal plasma hypersensitivity,1
Human T-cell lymphotropic virus infection,2
Human T-cell lymphotropic virus type I infection,15
Humerus fracture,680
Humidity intolerance,43
Humoral immune defect,135
Hunger,1533
Hungry bone syndrome,46
Huntington's disease,86
Hyalosis asteroid,1
Hyaluronic acid decreased,3
Hydraemia,1
Hydranencephaly,3
Hydroa vacciniforme,1
Hydrocele,162
Hydrocele female,1
Hydrocele male infected,4
Hydrocele operation,11
Hydrocephalus,827
Hydrocholecystis,11
Hydrogen breath test abnormal,1
Hydrometra,21
Hydromyelia,3
Hydronephrosis,987
Hydronephrosis repair,2
Hydrophobia,2
Hydrops foetalis,42
Hydrosalpinx,15
Hydrotherapy,1
Hydrothorax,144
Hydrotubation,1
Hydroureter,17
Hydroxyapatite crystal deposition disease,3
Hydroxycorticosteroids increased,1
Hydroxyprolinaemia,1
Hydroxyproline increased,3
Hydroxyprolinuria,1
Hymenectomy,1
Hymenolepiasis,2
Hyoid bone suspension,1
Hyperactive pharyngeal reflex,28
Hyperacusis,223
Hyperadrenalism,13
Hyperadrenocorticism,58
Hyperaemia,290
Hyperaesthesia,963
Hyperaesthesia eye,1
Hyperaesthesia teeth,209
Hyperalbuminaemia,3
Hyperaldosteronism,73
Hyperaluminaemia,1
Hyperammonaemia,925
Hyperammonaemic crisis,40
Hyperammonaemic encephalopathy,613
Hyperamylasaemia,179
Hyperandrogenism,4
Hyperarousal,4
Hyperbaric oxygen therapy,13
Hyperbilirubinaemia,1928
Hyperbilirubinaemia neonatal,48
Hypercalcaemia,2479
Hypercalcaemia of malignancy,50
Hypercalcaemic nephropathy,4
Hypercalcitoninaemia,1
Hypercalciuria,87
Hypercapnia,296
Hypercapnic coma,55
Hypercarotinaemia,1
Hypercatabolism,3
Hyperchloraemia,246
Hyperchlorhydria,471
Hypercholesterolaemia,552
Hyperchromasia,2
Hyperchromic anaemia,8
Hyperchylomicronaemia,12
Hypercoagulation,218
Hypercorticoidism,9
Hypercreatinaemia,82
Hypercreatininaemia,91
Hyperdynamic left ventricle,22
Hyperemesis gravidarum,104
Hypereosinophilic syndrome,106
Hyperexplexia,3
Hyperferritinaemia,29
Hyperfibrinogenaemia,8
Hyperfibrinolysis,8
Hypergammaglobulinaemia,40
Hypergammaglobulinaemia benign monoclonal,163
Hypergastrinaemia,17
Hypergeusia,5
Hyperglobulinaemia,9
Hyperglucagonaemia,2
Hyperglycaemia,6412
Hyperglycaemic crisis,10
Hyperglycaemic hyperosmolar nonketotic syndrome,305
Hyperglycaemic seizure,10
Hyperglycaemic unconsciousness,30
Hyperglycinaemia,5
Hypergonadism,1
Hyper HDL cholesterolaemia,1
Hyperhidrosis,11004
Hyperhomocysteinaemia,29
Hyper IgD syndrome,2
Hyper IgE syndrome,21
Hyper IgM syndrome,3
Hyperinsulinaemia,35
Hyperinsulinaemic hypoglycaemia,89
Hyperinsulinism,5
Hyperintensity in brain deep nuclei,17
Hyperkalaemia,5348
Hyperkaliuria,4
Hyperkeratosis,714
Hyperkeratosis follicularis et parafollicularis,2
Hyperkinesia,188
Hyperlactacidaemia,365
Hyperleukocytosis,182
Hyperlipasaemia,120
Hyperlipidaemia,641
Hypermagnesaemia,102
Hypermagnesuria,1
Hypermetabolism,64
Hypermetropia,116
Hypermobility syndrome,36
Hypermutation,56
Hypernatraemia,605
Hypernatriuria,5
Hyperoestrogenism,3
Hyperosmolar hyperglycaemic state,51
Hyperosmolar state,16
Hyperoxalaemia,1
Hyperoxaluria,23
Hyperoxia,5
Hyperparathyroidism,271
Hyperparathyroidism primary,49
Hyperparathyroidism secondary,170
Hyperparathyroidism tertiary,6
Hyperphagia,375
Hyperphosphataemia,240
Hyperphosphatasaemia,17
Hyperphosphaturia,15
Hyperpituitarism,7
Hyperplasia,98
Hyperplasia adrenal,7
Hyperplasia of thymic epithelium,10
Hyperplastic cholecystopathy,11
Hyperprolactinaemia,711
Hyperprolinaemia,7
Hyperproteinaemia,28
Hyperprothrombinaemia,1
Hyperpyrexia,654
Hyperreactio luteinalis,2
Hyperreflexia,138
Hyperresponsive to stimuli,11
Hypersensitivity,51324
Hypersensitivity myocarditis,44
Hypersensitivity pneumonitis,455
Hypersensitivity vasculitis,1459
Hypersexuality,256
Hypersomnia,3026
Hypersomnia-bulimia syndrome,7
Hypersplenism,73
Hypertelorism,9
Hypertension,29892
Hypertension neonatal,14
Hypertensive angiopathy,3
Hypertensive cardiomegaly,4
Hypertensive cardiomyopathy,25
Hypertensive cerebrovascular disease,5
Hypertensive crisis,2646
Hypertensive emergency,199
Hypertensive encephalopathy,99
Hypertensive heart disease,139
Hypertensive hydrocephalus,8
Hypertensive nephropathy,37
Hypertensive urgency,133
Hyperthermia,1055
Hyperthermia malignant,342
Hyperthermic chemotherapy,2
Hyperthrombinaemia,3
Hyperthyroidism,3068
Hypertonia,308
Hypertonia neonatal,12
Hypertonic bladder,385
Hypertransaminasaemia,1562
Hypertrichosis,476
Hypertriglyceridaemia,1243
Hypertrophic anal papilla,3
Hypertrophic cardiomyopathy,301
Hypertrophic osteoarthropathy,19
Hypertrophic scar,7
Hypertrophy,28
Hypertrophy of tongue papillae,18
Hyperuricaemia,418
Hyperuricosuria,2
Hyperventilation,414
Hypervigilance,106
Hyperviscosity syndrome,41
Hypervitaminosis,19
Hypervitaminosis A,6
Hypervitaminosis B,2
Hypervitaminosis D,14
Hypervolaemia,745
Hyphaema,110
Hypnagogic hallucination,52
Hypnic headache,1
Hypnopompic hallucination,16
Hypoacusis,17241
Hypoaesthesia,20309
Hypoaesthesia eye,69
Hypoaesthesia oral,1863
Hypoaesthesia teeth,4
Hypoalbuminaemia,488
Hypoaldosteronism,34
Hypobarism,27
Hypocalcaemia,3692
Hypocalcaemic seizure,17
Hypocalciuria,2
Hypocalvaria,12
Hypocapnia,25
Hypocarnitinaemia,3
Hypochloraemia,136
Hypocholesterolaemia,7
Hypochondriasis,5
Hypochromasia,6
Hypochromic anaemia,142
Hypocitraturia,9
Hypocoagulable state,124
Hypocomplementaemia,17
Hypodontia,10
Hypoferritinaemia,5
Hypofibrinogenaemia,452
Hypogammaglobulinaemia,1233
Hypogeusia,243
Hypoglobulinaemia,17
Hypoglossal nerve disorder,3
Hypoglossal nerve paralysis,4
Hypoglossal nerve paresis,2
Hypoglycaemia,9288
Hypoglycaemia neonatal,119
Hypoglycaemia unawareness,40
Hypoglycaemic coma,786
Hypoglycaemic encephalopathy,99
Hypoglycaemic seizure,135
Hypoglycaemic unconsciousness,329
Hypogonadism,72
Hypogonadism female,1
Hypogonadism male,16
Hypo HDL cholesterolaemia,1
Hypohidrosis,45
Hypoinsulinaemia,5
Hypoinsulinism,1
Hypokalaemia,6343
Hypokalaemic syndrome,8
Hypokinesia,1366
Hypokinesia neonatal,1
Hypomagnesaemia,1503
Hypomania,477
Hypomenorrhoea,506
Hypometabolism,44
Hyponatraemia,11018
Hyponatraemic coma,17
Hyponatraemic encephalopathy,58
Hyponatraemic seizure,55
Hyponatraemic syndrome,116
Hyponatriuria,4
Hypoosmolar state,16
Hypoparathyroidism,125
Hypoparathyroidism secondary,2
Hypoperfusion,40
Hypophagia,1676
Hypopharyngeal cancer,35
Hypopharyngeal cancer recurrent,1
Hypopharyngeal cancer stage II,3
Hypopharyngeal cancer stage IV,3
Hypopharyngeal neoplasm,2
Hypophonesis,1
Hypophosphataemia,1129
Hypophosphataemic osteomalacia,62
Hypophosphataemic rickets,2
Hypophosphatasia,15
Hypophysectomy,4
Hypophysitis,773
Hypopigmentation of eyelid,4
Hypopituitarism,450
Hypopituitarism foetal,1
Hypoplastic anaemia,5
Hypoplastic left heart syndrome,37
Hypoplastic nasal cartilage,2
Hypoplastic right heart syndrome,4
Hypopnoea,281
Hypoprolactinaemia,7
Hypoproteinaemia,92
Hypoprothrombinaemia,52
Hypopyon,68
Hyporeflexia,76
Hyporesponsive to stimuli,117
Hyposideraemia,25
Hyposmia,80
Hyposomnia,8
Hypospadias,179
Hypospermia,5
Hyposplenism,8
Hyposthenuria,3
Hypotension,25535
Hypotensive crisis,41
Hypotensive transfusion reaction,47
Hypothalamic hamartoma,1
Hypothalamic pituitary adrenal axis suppression,41
Hypothalamo-pituitary disorder,328
Hypothenar hammer syndrome,1
Hypothermia,1414
Hypothermia neonatal,7
Hypothyroidic goitre,1
Hypothyroidism,4103
Hypotonia,678
Hypotonia neonatal,83
Hypotonic-hyporesponsive episode,6
Hypotonic urinary bladder,26
Hypotony maculopathy,11
Hypotony of eye,92
Hypotrichosis,39
Hypouricaemia,11
Hypoventilation,211
Hypoventilation neonatal,8
Hypovitaminosis,153
Hypovolaemia,313
Hypovolaemic shock,564
Hypoxanthine-guanine phosphoribosyl transferase deficiency,1
Hypoxia,3878
Hypoxic-ischaemic encephalopathy,198
Hypoxic ischaemic encephalopathy neonatal,3
Hypozincaemia,6
Hysterectomy,2099
Hysterical psychosis,1
Hysterocele,1
Hysterosalpingectomy,3
Hysterosalpingogram abnormal,1
Hysterosalpingo-oophorectomy,27
Hysteroscopy,16
Hysterotomy,20
Iatrogenic infection,9
Iatrogenic injury,88
Iatrogenic metastasis,2
Ichthyosis,73
